time (seconds),encoderLeft (meters),encoderRight (meters)
14.989,3.518418788909912,-0.00018436143000144511
15.093,3.5184175968170166,-0.000185651850188151
15.2,3.518416404724121,-0.00018692351295612752
15.301,3.5184152126312256,-0.00018821754201781005
15.401,3.51841402053833,-0.0001895216992124915
15.503,3.5184130668640137,-0.00019078364130109549
15.602,3.518411874771118,-0.00019208867161069065
15.7,3.5184221267700195,-0.000205016098334454
15.802,3.51959490776062,-0.0013806279748678207
15.902,3.520768404006958,-0.0025569864083081484
16.003,3.521941900253296,-0.003733360907062888
16.101,3.523115396499634,-0.00490975147113204
16.202,3.5242886543273926,-0.006086164154112339
16.3,3.5254621505737305,-0.007262553554028273
16.402,3.5266356468200684,-0.008438941091299057
16.502,3.5278091430664062,-0.009615305811166763
16.602,3.528982400894165,-0.010791705921292305
16.701999999999998,3.530155897140503,-0.0119680967181921
16.802,3.531329393386841,-0.013144493103027344
16.901,3.5325026512145996,-0.014320873655378819
17.002,3.5336761474609375,-0.015497246757149696
17.102,3.5348496437072754,-0.016673635691404343
17.203,3.5360231399536133,-0.017850035801529884
17.302,3.537196397781372,-0.019026417285203934
17.4,3.53836989402771,-0.020202811807394028
17.502,3.539543390274048,-0.02137921191751957
17.601,3.5407168865203857,-0.022555550560355186
17.704,3.5418901443481445,-0.023731952533125877
17.802,3.5430636405944824,-0.024908287450671196
17.903,3.5442371368408203,-0.026084693148732185
18.002,3.545410633087158,-0.027261067181825638
18.102,3.546584129333496,-0.028437457978725433
18.202,3.547757387161255,-0.029613858088850975
18.298,3.5489308834075928,-0.030790193006396294
18.401,3.5501043796539307,-0.03196658194065094
18.502,3.5512778759002686,-0.033143021166324615
18.601,3.5524511337280273,-0.03431938216090202
18.701999999999998,3.5536246299743652,-0.03549573943018913
18.802,3.554798126220703,-0.03667212277650833
18.902,3.555971622467041,-0.03784850612282753
19.002,3.5571448802948,-0.039024919271469116
19.102,3.5583183765411377,-0.04020129144191742
19.201,3.5594918727874756,-0.04137767478823662
19.302,3.5606653690338135,-0.04255402460694313
19.4,3.5618388652801514,-0.043730419129133224
19.502,3.56301212310791,-0.04490680992603302
19.602,3.564185619354248,-0.046083126217126846
19.701999999999998,3.565359115600586,-0.04725954681634903
19.802,3.566532611846924,-0.04843587055802345
19.902,3.5677058696746826,-0.04961228743195534
20.002,3.5688793659210205,-0.05078866332769394
20.101,3.5700528621673584,-0.05196504667401314
20.201,3.5712263584136963,-0.05314141511917114
20.302,3.572399854660034,-0.05431778356432915
20.402,3.573573112487793,-0.05549418926239014
20.488,3.574746608734131,-0.05667056143283844
20.6,3.5759201049804688,-0.05784690007567406
20.701999999999998,3.5770936012268066,-0.05902332067489624
20.795,3.5782668590545654,-0.060199689120054245
20.902,3.5794403553009033,-0.06137603521347046
21.002,3.580613851547241,-0.06255245953798294
21.094,3.581787347793579,-0.06372878700494766
21.201,3.582960605621338,-0.06490518897771835
21.302,3.584134101867676,-0.06608158349990845
21.401,3.5853075981140137,-0.06725794076919556
21.502,3.5864810943603516,-0.06843430548906326
21.603,3.5876545906066895,-0.06961070746183395
21.699,3.5888278484344482,-0.07078710198402405
21.802,3.590001344680786,-0.07196344435214996
21.892,3.591174840927124,-0.07313982397317886
22.002,3.592348337173462,-0.07431622594594955
22.102,3.5935215950012207,-0.07549255341291428
22.201,3.5946950912475586,-0.07666897773742676
22.301,3.5958685874938965,-0.07784536480903625
22.405,3.5970418453216553,-0.07902176678180695
22.5,3.598215341567993,-0.08019816130399704
22.602,3.599388837814331,-0.08137452602386475
22.701,3.600562334060669,-0.08255092799663544
22.803,3.601735830307007,-0.08372727781534195
22.902,3.6029090881347656,-0.08490369468927383
23.002,3.6040825843811035,-0.08608005940914154
23.103,3.6052560806274414,-0.08725642412900925
