time (seconds),encoderLeft (meters),encoderRight (meters)
109.501,20.446229934692383,19.960851669311523
109.601,20.496448516845703,20.0202693939209
109.701,20.546669006347656,20.079687118530273
109.801,20.6005802154541,20.141735076904297
109.901,20.658538818359375,20.206844329833984
110.001,20.719579696655273,20.27438735961914
110.1,20.78386116027832,20.344581604003906
110.2,20.851720809936523,20.417797088623047
110.3,20.92218017578125,20.493263244628906
110.402,20.995038986206055,20.570844650268555
110.501,21.06789779663086,20.648427963256836
110.601,21.145198822021484,20.73003578186035
110.701,21.222501754760742,20.811643600463867
110.796,21.301311492919922,20.894655227661133
110.901,21.381559371948242,20.97902488708496
110.997,21.463171005249023,21.064716339111328
111.095,21.54563331604004,21.151262283325195
111.199,21.628799438476562,21.238557815551758
111.301,21.712291717529297,21.326255798339844
111.407,21.795869827270508,21.41412353515625
111.501,21.879314422607422,21.501998901367188
111.601,21.96240997314453,21.589689254760742
111.701,22.04550552368164,21.677377700805664
111.801,22.127992630004883,21.764667510986328
111.901,22.209434509277344,21.851215362548828
112,22.28969383239746,21.936899185180664
112.099,22.368730545043945,22.021678924560547
112.201,22.44558334350586,22.10483741760254
112.301,22.520599365234375,22.186649322509766
112.399,22.593873977661133,22.267194747924805
112.499,22.667144775390625,22.34773826599121
112.606,22.738344192504883,22.426801681518555
112.704,22.806840896606445,22.503978729248047
112.802,22.872589111328125,22.579303741455078
112.9,22.936166763305664,22.65321922302246
113.001,22.996971130371094,22.72540283203125
113.101,23.05474281311035,22.79579734802246
113.199,23.112512588500977,22.866193771362305
113.301,23.16753578186035,22.935075759887695
113.4,23.219266891479492,23.00229263305664
113.501,23.268726348876953,23.0684757232666
113.602,23.31657600402832,23.133991241455078
113.701,23.363128662109375,23.199020385742188
113.801,23.408771514892578,23.263774871826172
113.9,23.45441436767578,23.328529357910156
114.001,23.499755859375,23.393264770507812
114.098,23.545406341552734,23.45824432373047
114.202,23.59198570251465,23.523731231689453
114.301,23.640274047851562,23.59009552001953
114.4,23.690837860107422,23.65764045715332
114.5,23.743833541870117,23.72649574279785
114.603,23.79939079284668,23.796794891357422
114.7,23.854951858520508,23.867095947265625
114.801,23.9139347076416,23.93943214416504
114.901,23.976577758789062,24.014070510864258
115,24.042749404907227,24.091041564941406
115.101,24.112138748168945,24.170230865478516
115.201,24.184354782104492,24.25143051147461
115.3,24.26073455810547,24.3356876373291
115.399,24.340660095214844,24.42262840270996
115.494,24.42399787902832,24.512210845947266
115.601,24.50733757019043,24.601795196533203
115.701,24.59372329711914,24.69378089904785
115.786,24.683860778808594,24.788772583007812
115.901,24.776996612548828,24.886194229125977
116,24.8735408782959,24.986404418945312
116.101,24.972902297973633,25.088932037353516
116.201,25.07483673095703,25.193574905395508
116.3,25.1791934967041,25.300209045410156
116.401,25.285329818725586,25.408294677734375
116.5,25.39146614074707,25.516380310058594
116.599,25.499507904052734,25.626005172729492
116.698,25.609447479248047,25.73712921142578
116.8,25.720754623413086,25.849302291870117
116.901,25.83343505859375,25.962474822998047
117.002,25.947153091430664,26.076332092285156
117.098,26.061626434326172,26.19058609008789
117.195,26.17609977722168,26.304840087890625
117.31,26.290956497192383,26.419185638427734
117.401,26.40599822998047,26.533384323120117
117.5,26.520944595336914,26.647125244140625
117.601,26.635473251342773,26.76005744934082
117.7,26.75,26.872987747192383
117.797,26.863967895507812,26.985036849975586
117.9,26.976789474487305,27.0954532623291
118.002,27.08863639831543,27.204553604125977
118.1,27.199317932128906,27.312118530273438
118.201,27.30862808227539,27.41790771484375
118.301,27.416616439819336,27.522003173828125
118.401,27.52460479736328,27.6260986328125
118.501,27.630809783935547,27.727920532226562
118.601,27.734790802001953,27.8269100189209
118.701,27.836885452270508,27.923486709594727
118.802,27.93722152709961,28.01780128479004
118.9,28.035573959350586,28.109546661376953
118.998,28.13173484802246,28.19841766357422
119.1,28.226036071777344,28.28481674194336
119.201,28.318126678466797,28.36822509765625
119.301,28.40804100036621,28.448633193969727
119.401,28.496084213256836,28.52640724182129
119.5,28.584129333496094,28.60417938232422
119.603,28.67051887512207,28.679569244384766
119.701,28.755184173583984,28.752426147460938
119.801,28.838638305664062,28.82346534729004
119.901,28.920495986938477,28.892066955566406
120.001,29.0012149810791,28.95890998840332
120.092,29.081148147583008,29.024545669555664
120.194,29.161081314086914,29.090181350708008
120.301,29.2404842376709,29.1550235748291
120.401,29.31958770751953,29.219463348388672
120.501,29.3985595703125,29.283803939819336
120.602,29.477619171142578,29.34844398498535
120.701,29.5570125579834,29.41379737854004
120.8,29.636878967285156,29.48007583618164
120.901,29.71744728088379,29.547645568847656
121,29.798015594482422,29.615217208862305
121.101,29.879684448242188,29.684717178344727
121.2,29.962369918823242,29.75592613220215
121.299,30.046302795410156,29.829164505004883
121.399,30.13152313232422,29.904438018798828
121.5,30.21809196472168,29.981781005859375
121.601,30.306045532226562,30.061208724975586
121.701,30.395376205444336,30.142675399780273
121.798,30.484710693359375,30.224143981933594
121.901,30.57530403137207,30.307451248168945
122.001,30.667173385620117,30.392608642578125
122.1,30.760269165039062,30.47954559326172
122.201,30.854246139526367,30.567766189575195
122.302,30.949216842651367,30.657466888427734
122.401,31.044939041137695,30.748332977294922
122.5,31.1412410736084,30.840164184570312
122.588,31.2375431060791,30.931997299194336
122.7,31.33418083190918,31.024497985839844
122.799,31.43094253540039,31.11739730834961
122.902,31.527637481689453,31.21049690246582
123.001,31.624008178710938,31.303544998168945
123.099,31.71980857849121,31.396263122558594
123.199,31.81494140625,31.488492965698242
123.301,31.90928077697754,31.580089569091797
123.401,32.00236511230469,31.670616149902344
123.502,32.09384536743164,31.759719848632812
123.6,32.185325622558594,31.84882354736328
123.7,32.274845123291016,31.936128616333008
123.802,32.362430572509766,32.02163314819336
123.902,32.447303771972656,32.10456085205078
124.002,32.52961730957031,32.18504333496094
124.103,32.60923767089844,32.26292037963867
124.198,32.6861457824707,32.33816146850586
124.291,32.76026916503906,32.41067886352539
124.401,32.83075714111328,32.47962188720703
124.501,32.89757537841797,32.5449333190918
124.602,32.960693359375,32.6065673828125
124.698,33.02381134033203,32.6682014465332
124.801,33.083316802978516,32.726226806640625
124.901,33.138465881347656,32.77986145019531
124.999,33.1899528503418,32.82978057861328
125.101,33.23679733276367,32.874935150146484
125.201,33.27851867675781,32.91473388671875
125.301,33.315032958984375,32.94892501831055
125.4,33.35154724121094,32.98311233520508
125.501,33.38365936279297,33.01232147216797
125.602,33.4157600402832,33.04151916503906
125.701,33.44785690307617,33.070716857910156
125.802,33.479957580566406,33.099910736083984
125.897,33.51205825805664,33.12910842895508
126,33.54426193237305,33.15841293334961
126.101,33.57636260986328,33.18760681152344
126.201,33.608463287353516,33.21680450439453
126.298,33.64056396484375,33.246002197265625
126.4,33.672664642333984,33.27519989013672
126.501,33.70476531982422,33.30439758300781
126.601,33.73686599731445,33.333595275878906
126.706,33.76896667480469,33.36279296875
126.801,33.80106735229492,33.391990661621094
126.907,33.833168029785156,33.42118835449219
127.002,33.86526870727539,33.45038604736328
127.101,33.897369384765625,33.479583740234375
127.201,33.92947006225586,33.5087776184082
127.301,33.961570739746094,33.5379753112793
127.4,33.99367141723633,33.56717300415039
127.501,34.02577209472656,33.596370697021484
127.599,34.0578727722168,33.62556838989258
127.696,34.08997344970703,33.65476608276367
127.803,34.122074127197266,33.683963775634766
127.898,34.1541748046875,33.71316146850586
127.995,34.186275482177734,33.74235916137695
128.101,34.21837615966797,33.77155685424805
128.205,34.2504768371582,33.80075454711914
128.301,34.28257751464844,33.82994842529297
128.4,34.31467819213867,33.85914611816406
128.501,34.346778869628906,33.888343811035156
128.601,34.37887954711914,33.91754150390625
128.701,34.41097640991211,33.946739196777344
128.802,34.443077087402344,33.97593688964844
128.899,34.47517776489258,34.00513458251953
129.001,34.50727844238281,34.034332275390625
129.102,34.53937911987305,34.06352996826172
129.201,34.57147979736328,34.09272766113281
129.302,34.603580474853516,34.121925354003906
129.402,34.63568115234375,34.151119232177734
129.499,34.667781829833984,34.18031692504883
129.599,34.69988250732422,34.20951461791992
129.701,34.73198318481445,34.238712310791016
129.801,34.76408386230469,34.26791000366211
129.901,34.79618453979492,34.2971076965332
130,34.828285217285156,34.3263053894043
130.101,34.86038589477539,34.35550308227539
130.202,34.892486572265625,34.384700775146484
130.301,34.92458724975586,34.41389846801758
130.4,34.956687927246094,34.44309616088867
130.501,34.98878860473633,34.4722900390625
130.601,35.02088928222656,34.501487731933594
130.701,35.0529899597168,34.53068542480469
130.802,35.08509063720703,34.55988311767578
130.901,35.117191314697266,34.589080810546875
131.001,35.1492919921875,34.61827850341797
131.101,35.181392669677734,34.64747619628906
131.201,35.21349334716797,34.676673889160156
131.3,35.2455940246582,34.70587158203125
131.401,35.27769470214844,34.735069274902344
